State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error 1,Total registered,"Percent registered
(Total)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,Year
WEST VIRGINIA,White non-Hispanic alone,"1,340","1,339",64.2,2.8,860,64.2,2.8,679,50.7,3,2016
WEST VIRGINIA,Black alone,48,47,B,B,27,B,B,24,B,B,2016
WEST VIRGINIA,Asian alone,10,7,B,B,4,B,B,3,B,B,2016
WEST VIRGINIA,Hispanic (of any race),13,9,B,B,4,B,B,3,B,B,2016
WEST VIRGINIA,White alone or in combination,"1,371","1,368",64.3,2.8,880,64.2,2.8,695,50.7,2.9,2016
WEST VIRGINIA,Black alone or in combination,55,55,B,B,30,B,B,25,B,B,2016
WEST VIRGINIA,Asian alone or in combination,14,11,B,B,8,B,B,6,B,B,2016
WISCONSIN,Total,"4,465","4,354",76.3,2.2,"3,323",74.4,2.1,"3,068",68.7,2.3,2016
WISCONSIN,Male,"2,193","2,132",74.3,3.2,"1,584",72.2,3.1,"1,468",66.9,3.3,2016
WISCONSIN,Female,"2,272","2,222",78.3,2.9,"1,739",76.5,2.9,"1,600",70.4,3.2,2016
WISCONSIN,White alone,"4,079","3,998",78.3,2.2,"3,130",76.7,2.2,"2,897",71,2.4,2016
WISCONSIN,White non-Hispanic alone,"3,792","3,776",79.7,2.2,"3,009",79.4,2.2,"2,796",73.7,2.4,2016
WISCONSIN,Black alone,205,197,51.2,14,101,49.3,14.3,92,45.1,13.9,2016
WISCONSIN,Asian alone,118,95,B,B,50,B,B,45,B,B,2016
WISCONSIN,Hispanic (of any race),329,260,52.1,14.1,136,41.2,16.1,111,33.8,13.6,2016
WISCONSIN,White alone or in combination,"4,129","4,049",78.2,2.2,"3,165",76.6,2.2,"2,923",70.8,2.3,2016
WISCONSIN,Black alone or in combination,241,233,52.2,12.9,122,50.5,13.1,104,43.4,12.8,2016
WISCONSIN,Asian alone or in combination,129,106,58.3,18.4,62,48,20,57,43.8,18.3,2016
WYOMING,Total,436,427,71.1,2.7,304,69.7,2.7,277,63.5,2.8,2016
WYOMING,Male,223,218,70.6,3.8,154,69.1,3.8,139,62.4,4,2016
WYOMING,Female,213,209,71.7,3.8,150,70.3,3.8,138,64.7,4,2016
WYOMING,White alone,405,399,71.2,2.8,284,70.2,2.8,260,64.3,2.9,2016
WYOMING,White non-Hispanic alone,374,373,72.3,2.8,270,72.2,2.8,249,66.6,3,2016
WYOMING,Black alone,5,5,B,B,4,B,B,3,B,B,2016
WYOMING,Asian alone,6,4,B,B,3,B,B,3,B,B,2016
WYOMING,Hispanic (of any race),32,26,B,B,15,B,B,12,B,B,2016
WYOMING,White alone or in combination,409,404,71.6,2.8,289,70.5,2.8,264,64.6,2.9,2016
WYOMING,Black alone or in combination,6,6,B,B,6,B,B,4,B,B,2016
WYOMING,Asian alone or in combination,7,4,B,B,3,B,B,3,B,B,2016
