State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
WASHINGTON,White alone,"4,238","3,939",71.6,2.2,"2,819",66.5,2.2,"2,088",49.3,2.3,2014
WASHINGTON,.White non-Hispanic alone,"3,716","3,644",73.6,2.2,"2,683",72.2,2.2,"2,022",54.4,2.5,2014
WASHINGTON,Black alone,195,159,46.6,12.8,74,37.9,14.6,53,27.4,11.7,2014
WASHINGTON,Asian alone,451,268,59.9,8.7,161,35.6,11.5,110,24.4,7.8,2014
WASHINGTON,Hispanic (of any race),635,378,44.8,8.4,169,26.7,12.2,95,15,6.8,2014
WASHINGTON,White alone or in combination,"4,407","4,099",71.4,2.2,"2,927",66.4,2.1,"2,143",48.6,2.3,2014
WASHINGTON,Black alone or in combination,236,196,45.2,11.6,88,37.5,13.1,60,25.3,10.4,2014
WASHINGTON,Asian alone or in combination,483,300,59.9,8.4,180,37.2,10.9,127,26.3,7.7,2014
WEST VIRGINIA,Total,"1,449","1,440",62.2,2.5,896,61.8,2.5,484,33.4,2.5,2014
WEST VIRGINIA,Male,705,703,61.3,3.6,431,61.1,3.6,236,33.5,3.5,2014
WEST VIRGINIA,Female,744,738,63.1,3.5,465,62.5,3.5,248,33.3,3.4,2014
WEST VIRGINIA,White alone,"1,376","1,373",62.8,2.6,863,62.7,2.6,473,34.4,2.5,2014
WEST VIRGINIA,.White non-Hispanic alone,"1,360","1,358",62.8,2.6,852,62.7,2.6,470,34.6,2.6,2014
WEST VIRGINIA,Black alone,41,41,(B),(B),17,(B),(B),5,(B),(B),2014
WEST VIRGINIA,Asian alone,10,5,(B),(B),4,(B),(B),2,(B),(B),2014
WEST VIRGINIA,Hispanic (of any race),18,16,(B),(B),11,(B),(B),3,(B),(B),2014
WEST VIRGINIA,White alone or in combination,"1,390","1,387",62.9,2.6,872,62.7,2.6,475,34.2,2.5,2014
WEST VIRGINIA,Black alone or in combination,49,48,(B),(B),22,(B),(B),6,(B),(B),2014
WEST VIRGINIA,Asian alone or in combination,10,6,(B),(B),4,(B),(B),2,(B),(B),2014
WISCONSIN,Total,"4,356","4,232",71,2.1,"3,005",69,2.1,"2,343",53.8,2.3,2014
WISCONSIN,Male,"2,136","2,059",69.6,3.1,"1,433",67.1,3.1,"1,140",53.4,3.3,2014
WISCONSIN,Female,"2,220","2,173",72.4,2.9,"1,572",70.8,2.9,"1,203",54.2,3.2,2014
WISCONSIN,White alone,"3,933","3,826",72.9,2.2,"2,791",71,2.2,"2,213",56.3,2.4,2014
WISCONSIN,.White non-Hispanic alone,"3,715","3,689",73.9,2.2,"2,727",73.4,2.2,"2,170",58.4,2.4,2014
WISCONSIN,Black alone,230,227,56.8,12,129,56.1,12,93,40.4,11.8,2014
WISCONSIN,Asian alone,106,91,33.6,16.8,30,28.8,19,9,8.7,10.5,2014
WISCONSIN,Hispanic (of any race),248,168,45.8,14,77,31,18.3,53,21.4,12.4,2014
WISCONSIN,White alone or in combination,"4,011","3,904",72.9,2.2,"2,846",71,2.2,"2,241",55.9,2.4,2014
WISCONSIN,Black alone or in combination,270,267,58.2,11,155,57.6,11.1,110,40.9,11,2014
WISCONSIN,Asian alone or in combination,116,101,32.8,16,33,28.5,17.9,12,10.2,10.8,2014
WYOMING,Total,441,427,56.5,2.7,241,54.7,2.7,172,39.1,2.6,2014
WYOMING,Male,223,215,54.6,3.8,117,52.6,3.8,85,38,3.6,2014
WYOMING,Female,217,212,58.4,3.8,124,56.9,3.8,87,40.2,3.7,2014
WYOMING,White alone,407,399,57,2.8,227,55.8,2.8,164,40.3,2.7,2014
WYOMING,.White non-Hispanic alone,384,381,57.2,2.8,218,56.7,2.8,158,41,2.8,2014
WYOMING,Black alone,11,9,(B),(B),5,(B),(B),3,(B),(B),2014
WYOMING,Asian alone,3,1,(B),(B),-,(B),(B),-,(B),(B),2014
WYOMING,Hispanic (of any race),29,20,(B),(B),9,(B),(B),6,(B),(B),2014
WYOMING,White alone or in combination,414,406,56.6,2.7,230,55.5,2.8,166,40.1,2.7,2014
WYOMING,Black alone or in combination,11,9,(B),(B),5,(B),(B),3,(B),(B),2014
WYOMING,Asian alone or in combination,4,2,(B),(B),-,(B),(B),-,(B),(B),2014
