State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of error 1,Total registered,"Percent registered
(Total)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,Year
WASHINGTON,Asian alone or in combination,559,386,74.5,8.9,287,51.4,9.3,237,42.4,8.8,2018
WEST VIRGINIA,Total,"1,406","1,384",64.5,2.8,892,63.4,2.8,610,43.4,2.9,2018
WEST VIRGINIA,Male,685,674,62.7,4,423,61.7,4.1,294,43,4.1,2018
WEST VIRGINIA,Female,721,710,66.1,3.9,470,65.1,3.9,316,43.8,4,2018
WEST VIRGINIA,White alone,"1,312","1,303",65.7,2.9,856,65.2,2.9,585,44.6,3,2018
WEST VIRGINIA,White non-Hispanic alone,"1,291","1,286",65.9,2.9,847,65.6,2.9,582,45.1,3,2018
WEST VIRGINIA,Black alone,49,47,B,B,19,B,B,12,B,B,2018
WEST VIRGINIA,Asian alone,17,6,B,B,4,B,B,3,B,B,2018
WEST VIRGINIA,Hispanic (of any race),24,20,B,B,10,B,B,4,B,B,2018
WEST VIRGINIA,White alone or in combination,"1,334","1,324",65.5,2.8,867,65,2.8,594,44.5,3,2018
WEST VIRGINIA,Black alone or in combination,64,63,B,B,29,B,B,19,B,B,2018
WEST VIRGINIA,Asian alone or in combination,19,7,B,B,5,B,B,4,B,B,2018
WISCONSIN,Total,"4,436","4,296",72.8,2.3,"3,129",70.5,2.2,"2,776",62.6,2.4,2018
WISCONSIN,Male,"2,186","2,105",72.2,3.3,"1,519",69.5,3.2,"1,328",60.7,3.5,2018
WISCONSIN,Female,"2,250","2,191",73.5,3.2,"1,610",71.6,3.1,"1,448",64.4,3.3,2018
WISCONSIN,White alone,"3,948","3,865",74.6,2.3,"2,883",73,2.3,"2,574",65.2,2.5,2018
WISCONSIN,White non-Hispanic alone,"3,782","3,759",74.9,2.3,"2,815",74.5,2.3,"2,514",66.5,2.5,2018
WISCONSIN,Black alone,264,239,57.1,12.3,137,51.7,12.8,110,41.7,12.2,2018
WISCONSIN,Asian alone,89,79,66,21.8,52,58.6,22.3,52,58.6,21.8,2018
WISCONSIN,Hispanic (of any race),232,142,64.2,16.7,91,39.3,21,84,36.3,16.4,2018
WISCONSIN,White alone or in combination,"4,015","3,932",74.4,2.3,"2,923",72.8,2.3,"2,599",64.7,2.5,2018
WISCONSIN,Black alone or in combination,313,266,59.6,11.3,159,50.7,12.1,123,39.1,11.1,2018
WISCONSIN,Asian alone or in combination,94,84,67.8,21.1,57,60.5,21.4,57,60.5,21.1,2018
WYOMING,Total,430,422,63.5,2.9,268,62.4,2.9,220,51.2,3,2018
WYOMING,Male,216,212,62.9,4.1,134,61.8,4.1,107,49.7,4.2,2018
WYOMING,Female,214,210,64.1,4.1,135,62.9,4.1,113,52.7,4.2,2018
WYOMING,White alone,408,402,64.5,2.9,259,63.6,2.9,214,52.5,3,2018
WYOMING,White non-Hispanic alone,369,368,66.3,3,244,66,3,202,54.7,3.2,2018
WYOMING,Black alone,5,4,B,B,3,B,B,2,B,B,2018
WYOMING,Asian alone,3,1,B,B,-,B,B,-,B,B,2018
WYOMING,Hispanic (of any race),41,37,B,B,16,B,B,13,B,B,2018
WYOMING,White alone or in combination,410,405,64.4,2.9,261,63.6,2.9,216,52.5,3,2018
WYOMING,Black alone or in combination,6,5,B,B,3,B,B,2,B,B,2018
WYOMING,Asian alone or in combination,3,1,B,B,-,B,B,-,B,B,2018
