State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
WASHINGTON,Male,"2,546","2,338",70.9,2.9,"1,658",65.1,2.8,"1,491",58.5,3,2012
WASHINGTON,Female,"2,684","2,495",75.2,2.7,"1,875",69.9,2.6,"1,682",62.7,2.8,2012
WASHINGTON,White alone,"4,301","4,039",74,2.1,"2,987",69.4,2.1,"2,696",62.7,2.2,2012
WASHINGTON,.White non-Hispanic alone,"3,936","3,829",75.1,2.1,"2,875",73,2.1,"2,603",66.1,2.3,2012
WASHINGTON,Black alone,162,149,69.5,13.9,103,63.8,13.9,72,44.3,14.3,2012
WASHINGTON,Asian alone,377,255,69.7,9.9,178,47.2,11,169,44.7,9.8,2012
WASHINGTON,Hispanic (of any race),460,298,58,10.8,172,37.5,13.6,139,30.2,10.2,2012
WASHINGTON,White alone or in combination,"4,550","4,288",73.9,2.1,"3,171",69.7,2,"2,868",63,2.2,2012
WASHINGTON,Black alone or in combination,214,201,72.8,11.7,146,68.2,11.5,115,53.5,12.5,2012
WASHINGTON,Asian alone or in combination,452,331,71.4,9,236,52.2,9.5,223,49.2,9,2012
WEST VIRGINIA,Total,"1,452","1,442",68.1,2.2,982,67.6,2.2,690,47.5,2.4,2012
WEST VIRGINIA,Male,705,700,67.7,3.2,474,67.3,3.2,332,47,3.4,2012
WEST VIRGINIA,Female,747,742,68.4,3.1,508,67.9,3.1,358,47.9,3.3,2012
WEST VIRGINIA,White alone,"1,391","1,386",68.4,2.2,948,68.2,2.2,665,47.8,2.4,2012
WEST VIRGINIA,.White non-Hispanic alone,"1,381","1,378",68.6,2.3,944,68.4,2.3,662,48,2.4,2012
WEST VIRGINIA,Black alone,40,38,(B),(B),23,(B),(B),19,(B),(B),2012
WEST VIRGINIA,Asian alone,7,5,(B),(B),3,(B),(B),1,(B),(B),2012
WEST VIRGINIA,Hispanic (of any race),14,13,(B),(B),8,(B),(B),4,(B),(B),2012
WEST VIRGINIA,White alone or in combination,"1,400","1,395",68.2,2.2,951,68,2.2,668,47.7,2.4,2012
WEST VIRGINIA,Black alone or in combination,41,39,(B),(B),24,(B),(B),20,(B),(B),2012
WEST VIRGINIA,Asian alone or in combination,7,5,(B),(B),3,(B),(B),1,(B),(B),2012
WISCONSIN,Total,"4,352","4,247",78.1,1.9,"3,318",76.3,1.9,"3,127",71.9,2,2012
WISCONSIN,Male,"2,115","2,058",75.5,2.9,"1,554",73.5,2.8,"1,460",69,3,2012
WISCONSIN,Female,"2,236","2,189",80.6,2.6,"1,764",78.9,2.5,"1,667",74.6,2.8,2012
WISCONSIN,White alone,"3,920","3,856",78.6,2,"3,030",77.3,2,"2,854",72.8,2.1,2012
WISCONSIN,.White non-Hispanic alone,"3,751","3,728",79.6,2,"2,968",79.1,2,"2,797",74.6,2.1,2012
WISCONSIN,Black alone,242,227,81,9.9,184,76.1,9.4,178,73.7,10.3,2012
WISCONSIN,Asian alone,35,20,(B),(B),15,(B),(B),15,(B),(B),2012
WISCONSIN,Hispanic (of any race),214,163,46.8,15.4,76,35.5,18.4,71,33.3,15.1,2012
WISCONSIN,White alone or in combination,"3,967","3,898",78.5,2,"3,061",77.2,2,"2,885",72.7,2.1,2012
WISCONSIN,Black alone or in combination,255,241,82.1,9.5,198,77.3,9,192,75.1,9.8,2012
WISCONSIN,Asian alone or in combination,40,25,(B),(B),17,(B),(B),17,(B),(B),2012
WYOMING,Total,427,419,63.9,2.6,268,62.8,2.6,247,57.8,2.6,2012
WYOMING,Male,213,209,61,3.7,127,59.6,3.7,118,55.2,3.7,2012
WYOMING,Female,213,211,66.7,3.5,141,65.9,3.5,129,60.4,3.6,2012
WYOMING,White alone,403,396,65.3,2.6,259,64.2,2.6,240,59.4,2.7,2012
WYOMING,.White non-Hispanic alone,373,372,67,2.7,249,66.8,2.7,232,62.1,2.7,2012
WYOMING,Black alone,3,3,(B),(B),1,(B),(B),1,(B),(B),2012
WYOMING,Asian alone,2,-,(B),(B),-,(B),(B),-,(B),(B),2012
WYOMING,Hispanic (of any race),32,27,(B),(B),10,(B),(B),8,(B),(B),2012
WYOMING,White alone or in combination,409,402,65.2,2.6,262,64.1,2.6,243,59.4,2.6,2012
WYOMING,Black alone or in combination,4,4,(B),(B),2,(B),(B),2,(B),(B),2012
WYOMING,Asian alone or in combination,4,3,(B),(B),2,(B),(B),2,(B),(B),2012
