State,Group,Total Population,Total Citizen Population,Percent registered (Citizen 18+),DUMMY_CI_CITIZEN,Total Registered,Percent registered (Total 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Year
Wisconsin,.Total,"4,212","4,053",76.4,76.4,"3,095",73.5,2,"2,887",68.5,2.1,2008
Wisconsin,.Male,"2,084","1,993",75.3,75.3,"1,501",72,2.9,"1,403",67.3,3.1,2008
Wisconsin,.Female,"2,128","2,060",77.4,77.4,"1,594",74.9,2.8,"1,484",69.7,3,2008
Wisconsin,.White alone,"3,881","3,764",76.5,76.5,"2,881",74.2,2.1,"2,682",69.1,2.2,2008
Wisconsin,..White non-Hispanic alone,"3,639","3,620",77.5,77.5,"2,806",77.1,2.1,"2,617",71.9,2.2,2008
Wisconsin,.Black alone,199,199,73.1,73.1,145,73.1,11.4,145,73.1,11.4,2008
Wisconsin,.Asian alone,76,37,(B),(B),31,41,21.3,31,41,21.3,2008
Wisconsin,.Hispanic (of any race),247,150,51.6,51.6,77,31.3,13.9,66,26.9,13.3,2008
Wisconsin,.White alone or in combination,"3,903","3,786",76.4,76.4,"2,892",74.1,2.1,"2,692",69,2.2,2008
Wisconsin,.Black alone or in combination ,213,213,70.5,70.5,150,70.5,11.3,150,70.5,11.3,2008
Wisconsin,.Asian alone or in combination,78,39,(B),(B),33,42.4,21.1,33,42.4,21.1,2008
Wyoming,.Total,397,389,69.3,69.3,270,67.9,2.6,250,62.9,2.6,2008
Wyoming,.Male,199,195,65.2,65.2,127,64,3.7,118,59.2,3.8,2008
Wyoming,.Female,198,194,73.5,73.5,142,71.8,3.5,132,66.7,3.6,2008
Wyoming,.White alone,377,373,70,70,261,69.2,2.6,242,64.1,2.7,2008
Wyoming,..White non-Hispanic alone,361,359,70.3,70.3,252,70,2.6,235,65.1,2.7,2008
Wyoming,.Black alone,5,4,(B),(B),1,(B),(B),1,(B),(B),2008
Wyoming,.Asian alone,4,1,(B),(B),-,(B),(B),-,(B),(B),2008
Wyoming,.Hispanic (of any race),18,15,(B),(B),8,(B),(B),7,(B),(B),2008
Wyoming,.White alone or in combination,382,378,70.2,70.2,265,69.4,2.6,246,64.3,2.7,2008
Wyoming,.Black alone or in combination ,6,4,(B),(B),2,(B),(B),1,(B),(B),2008
Wyoming,.Asian alone or in combination,5,2,(B),(B),-,(B),(B),-,(B),(B),2008
